State,District,Location,Longitude,Latitude
Chhattisgarh,Bemetara,Rampur (Bhand),81.5047,21.5226
Chhattisgarh,Mungeli,Daukapa,81.828,22.0092
Chhattisgarh,Mungeli,Mungeli,81.6733,22.0805
Chhattisgarh,Mungeli,Sitalkunda,81.6403,22.0167
Gujarat,Ahmedabad,Dhandhuka1,71.9877,22.3761
Gujarat,Ahmedabad,Viramgam2,72.0384,23.1367
Gujarat,Amreli,Dhrai( Balmukand),71.1481,21.8077
Gujarat,Amreli,Bagasara,70.9608,21.4768
Gujarat,Amreli,Luvariya,71.3958,21.625
Gujarat,Amreli,Sanaria,71.4319,21.5501
Gujarat,Amreli,Bhuva,71.3596,21.4277
Gujarat,Bhavnagar,Bhudel,72.1578,21.6889
Gujarat,Bhavnagar,Bhumbhali,72.2343,21.6845
Gujarat,Botad,Barvala,71.8942,22.1624
Gujarat,Devbhumi Dwarka,Lambha 1,69.3084,21.9113
Gujarat,Jamnagar,Badanpar,70.3125,22.6875
Gujarat,Junagadh,Osa,70.0642,21.3729
Gujarat,Kachchh,Kakarwa,70.4066,23.4799
Gujarat,Kachchh,Kotay,69.7847,23.3847
Gujarat,Kachchh,Lodai,69.9,23.3971
Gujarat,Kachchh,Sukhpar,69.6071,23.1987
Gujarat,Kachchh,Dolatpar,68.8936,23.5977
Gujarat,Kachchh,Kharai_1,68.684,23.4723
Gujarat,Kachchh,Lakhpat1,68.7749,23.8232
Gujarat,Kachchh,Bambhdai,69.0826,22.9415
Gujarat,Kachchh,Karagoga,69.6619,22.9381
Gujarat,Kachchh,Adesar,70.9597,23.5549
Gujarat,Morbi,Sarvad,70.7071,23.0065
Gujarat,Morbi,Chhatar,70.7531,22.5055
Gujarat,Patan,Moti Chander,71.7703,23.5992
Gujarat,Patan,Piprala,71.0967,23.6462
Gujarat,Porbandar,Kadegi,69.9801,21.4519
Gujarat,Porbandar,Kutiyana1,70.0113,21.6284
Gujarat,Porbandar,Mojiwana,69.5743,21.86
Gujarat,Rajkot,Sanosara,71.2304,22.2989
Gujarat,Rajkot,Ganod,70.1693,21.6888
Gujarat,Surendranagar,Moti Moladi,71.104,22.4179
Gujarat,Surendranagar,Vanala,71.922,22.4336
Gujarat,Surendranagar,Malvan,71.7504,23.0614
Gujarat,Surendranagar,Moti Majethi,71.8853,23.0866
Gujarat,Surendranagar,Pipli,71.7123,23.0687
Gujarat,Surendranagar,Gangad,71.9733,22.9493
Gujarat,Surendranagar,Shiyani,71.8296,22.6626
Gujarat,Surendranagar,Choraniya,71.8509,22.572
Gujarat,Surendranagar,Moti Kathechi,71.9884,22.8919
Gujarat,Surendranagar,Ranagarh,71.9885,22.779
Gujarat,Surendranagar,Muli,71.4644,22.639
Gujarat,Surendranagar,Vaghela,71.6572,22.6577
Himachal Pradesh,Solan,Theda,76.7767,32.0164
Maharashtra,Ahmednagar,Manjur,74.2808,19.95
Maharashtra,Ahmednagar,Mushadpur,74.4442,19.8969
Maharashtra,Ahmednagar,Dahigaon,74.8069,18.9625
Maharashtra,Ahmednagar,Jakhangaon,74.6306,19.1056
Maharashtra,Ahmednagar,Rastapur,74.5644,19.7881
Maharashtra,Ahmednagar,Malkup,74.5308,19.1256
Maharashtra,Ahmednagar,Ghotan,75.3,19.4
Maharashtra,Ahmednagar,Chikhale,74.7167,18.8667
Maharashtra,Amravati,Khed,77.8611,21.3094
Maharashtra,Aurangabad,Tunki,74.85,20.1333
Maharashtra,Beed,Manur,75.3167,19.0667
Maharashtra,Chandrapur,Kolara-1,79.3694,20.4072
Maharashtra,Jalna,Jafrabad,76.0167,20.2
Maharashtra,Satara,Thakurki_Phaltan,74.6969,17.7844
Odisha,Balangir,Phulajharan,83.4678,20.7194
Odisha,Puri,P-19 Kashi Jagannathpur,85.8064,19.8167
Rajasthan,Ajmer,Ludiyana,74.583,25.997
Rajasthan,Ajmer,Tabiji,74.617,26.363
Rajasthan,Ajmer,Sarwad,75,26.05
Rajasthan,Ajmer,Kanpura1,74.867,26.4
Rajasthan,Alwar,Kathumar,77.0778,27.3161
Rajasthan,Alwar,Lachmangarh,76.86,27.35
Rajasthan,Alwar,Rajgarh1,76.6,27.236
Rajasthan,Barmer,Koloo,71.713,26.0274
Rajasthan,Barmer,Sawau Padam Singh,71.8067,26.1503
Rajasthan,Barmer,Balotara,72.24,25.83
Rajasthan,Barmer,Thob(Hs-1),72.3758,26.0136
Rajasthan,Barmer,"Ashok Ki Dhani, Sawlor",71.261,25.6062
Rajasthan,Barmer,Chawa,71.663,25.746
Rajasthan,Barmer,Dhani At Sansiyon Ka Tala,71.3916,25.6918
Rajasthan,Barmer,Dhorimana,71.4352,25.2344
Rajasthan,Barmer,Doongar Jee Ki Dhani,71.403,25.5034
Rajasthan,Barmer,Sanawara,71.4,25.48
Rajasthan,Barmer,Sansiyan Ka Tala,71.4125,25.7042
Rajasthan,Barmer,Siyagatala,70.8653,25.3375
Rajasthan,Barmer,Bheelon Ki Dhani,71.4698,25.2271
Rajasthan,Barmer,"Gaushala, Nerinadi",71.406,25.2229
Rajasthan,Barmer,"Hari Om Hotel, Highway",71.4354,25.2343
Rajasthan,Barmer,Panchla,70.167,25.992
Rajasthan,Barmer,Gudamalani,71.6988,25.214
Rajasthan,Barmer,"Rathoro Ki Dhani, Gudamalani",71.7031,25.2121
Rajasthan,Barmer,Doli,72.667,26.067
Rajasthan,Barmer,Thob,72.358,26.05
Rajasthan,Barmer,Thoombli,72.489,26.204
Rajasthan,Barmer,Ramsar,70.8719,25.7303
Rajasthan,Barmer,Bisukalan,71.278,26.241
Rajasthan,Barmer,Loonakalan,71.9829,25.4481
Rajasthan,Barmer,Arniyali,71.968,25.467
Rajasthan,Barmer,Bhoginji Ka Meetha,72.1242,25.5269
Rajasthan,Barmer,Bhoginji Ka Meetha,72.1158,25.5131
Rajasthan,Barmer,Dhanwa,72.1199,25.5475
Rajasthan,Barmer,Bhoginji Ka Meetha,72.1257,25.5149
Rajasthan,Barmer,Khara Mahecha,72.0265,25.5103
Rajasthan,Barmer,Samdari(Hs),72.5869,25.8182
Rajasthan,Barmer,Samdari(Hs-3),72.5972,25.8251
Rajasthan,Barmer,Samdari(Hs-4),72.5757,25.8489
Rajasthan,Bharatpur,Kaman,77.2697,27.6572
Rajasthan,Bharatpur,Gopalgarh,77.0633,27.6547
Rajasthan,Bharatpur,Nagar,77.1,27.417
Rajasthan,Bharatpur,Pahari,77.083,27.7
