State,District,Location,Longitude,Latitude
Daman And Diu,Diu,Zolawadi,70.9306,20.7242
Gujarat,Ahmedabad,Dhandhuka1,71.9877,22.3761
Gujarat,Ahmedabad,Dalod,71.9675,23.3532
Gujarat,Ahmedabad,Viramgam2,72.0384,23.1367
Gujarat,Amreli,Devaliya,71.1083,21.8208
Gujarat,Amreli,Dhrai( Balmukand),71.1481,21.8077
Gujarat,Amreli,Luvariya,71.3958,21.625
Gujarat,Amreli,Sanaria,71.4319,21.5501
Gujarat,Amreli,Mandal,71.5793,21.0994
Gujarat,Amreli,Bhuva,71.3596,21.4277
Gujarat,Anand,Kansari1,72.6516,22.3413
Gujarat,Banaskantha,Gangodra,72.3647,24.4397
Gujarat,Banaskantha,Dudhba,71.669,24.4794
Gujarat,Bharuch,Navetha,72.8281,21.7091
Gujarat,Bharuch,Raymal,72.8197,21.5191
Gujarat,Bharuch,Sahol,72.8184,21.4446
Gujarat,Bharuch,Jambusar2,72.8086,22.0494
Gujarat,Bhavnagar,Bhutia,71.7,21.7472
Gujarat,Devbhoomi Dwarka,Gojines,69.2042,22.0246
Gujarat,Devbhoomi Dwarka,Khakharda,69.3721,22.1048
Gujarat,Devbhumi Dwarka,Mojap,68.9796,22.3615
Gujarat,Devbhumi Dwarka,Samrasar1,69.1063,22.3699
Gujarat,Devbhumi Dwarka,Varwada,68.9615,22.2977
Gujarat,Jamnagar,Badanpar,70.3125,22.6875
Gujarat,Jamnagar,Keshiya,70.3971,22.6966
Gujarat,Junagadh,Arena,70.1771,21.0808
Gujarat,Junagadh,Khorada1,70.1876,21.0722
Gujarat,Junagadh,Osa,70.0642,21.3729
Gujarat,Junagadh,Shardagram,70.1431,21.1038
Gujarat,Kachchh,Kothara,68.9088,23.1634
Gujarat,Kachchh,Mothala,69.1355,23.2031
Gujarat,Kachchh,Kakarwa,70.4066,23.4799
Gujarat,Kachchh,Samakhiali,70.5041,23.3067
Gujarat,Kachchh,Sukhpar,69.6071,23.1987
Gujarat,Kachchh,Shinaya,70.0624,23.0395
Gujarat,Kachchh,Kharai_1,68.684,23.4723
Gujarat,Kachchh,Bambhdai,69.0826,22.9415
Gujarat,Kachchh,Nani Tumbdi,69.549,22.9963
Gujarat,Kachchh,Adesar,70.9597,23.5549
Gujarat,Morbi,Halvad2,71.1854,23.0196
Gujarat,Morbi,Sarvad,70.7071,23.0065
Gujarat,Morbi,Chhatar,70.7531,22.5055
Gujarat,Morbi,Bhalgam,71.0826,22.4357
Gujarat,Patan,Gochanad,71.6246,23.7713
Gujarat,Patan,Moti Chander,71.7703,23.5992
Gujarat,Patan,Piprala,71.0967,23.6462
Gujarat,Porbandar,Kadegi,69.9801,21.4519
Gujarat,Porbandar,Kutiyana1,70.0113,21.6284
Gujarat,Porbandar,Mojiwana,69.5743,21.86
Gujarat,Porbandar,Oddar,69.6921,21.5529
Gujarat,Rajkot,Movaiya,70.6275,22.4579
Gujarat,Rajkot,Sanosara,71.2304,22.2989
Gujarat,Rajkot,Ganod,70.1693,21.6888
Gujarat,Sabarkantha,Silwad,73.1167,24.0083
Gujarat,Surendranagar,Bamanbor,71.0373,22.4147
Gujarat,Surendranagar,Moti Moladi,71.104,22.4179
Gujarat,Surendranagar,Choraniya,71.8509,22.572
Gujarat,Surendranagar,Moti Kathechi,71.9884,22.8919
Gujarat,Surendranagar,Ranagarh,71.9885,22.779
Gujarat,Surendranagar,Muli,71.4644,22.639
Gujarat,Surendranagar,Dhajala,71.398,22.3807
Gujarat,Valsad,Magod,72.9049,20.5659
Maharashtra,Ahmednagar,Manjur,74.2808,19.95
Maharashtra,Ahmednagar,Mushadpur,74.4442,19.8969
Maharashtra,Akola,Wadegaon,77.0675,20.4686
Maharashtra,Amravati,Yevda,77.4586,20.9947
Maharashtra,Aurangabad,Tunki,74.85,20.1333
Maharashtra,Beed,Hirapur,75.7417,19.1194
Maharashtra,Beed,Manur,75.3167,19.0667
Maharashtra,Chandrapur,Kolara-1,79.3694,20.4072
Maharashtra,Chandrapur,Aksapur,79.6333,19.7583
Maharashtra,Nandurbar,Ghuli,74.2536,21.4311
Maharashtra,Nashik,Marhal Kh,74.1822,19.78
Maharashtra,Parbhani,Hadgaon-1,76.3133,19.3136
Maharashtra,Raigad,Dapoli,73,18.4778
Maharashtra,Raigad,Sukeli,73.1842,18.4875
Maharashtra,Ratnagiri,Jaitapur,73.5369,16.6275
